Date,Symbol,Close
7/16/2018,NVDA,248.2
7/17/2018,NVDA,253.69
7/18/2018,NVDA,251.7
7/19/2018,NVDA,252.03
7/20/2018,NVDA,250.89
7/23/2018,NVDA,249.41
7/24/2018,NVDA,248.71
7/25/2018,NVDA,251.87
7/26/2018,NVDA,254.84
7/27/2018,NVDA,252.02
7/30/2018,NVDA,244.13
7/31/2018,NVDA,244.86
8/1/2018,NVDA,246.47
8/2/2018,NVDA,250.62
8/3/2018,NVDA,252.1
8/6/2018,NVDA,254.03
8/7/2018,NVDA,256.95
8/8/2018,NVDA,258.42
8/9/2018,NVDA,256.46
8/10/2018,NVDA,254.79
8/13/2018,NVDA,256.12
8/14/2018,NVDA,261.43
8/15/2018,NVDA,259.08
8/16/2018,NVDA,257.44
8/17/2018,NVDA,244.82
8/20/2018,NVDA,247.84
8/21/2018,NVDA,253.32
8/22/2018,NVDA,262.82
8/23/2018,NVDA,266.84
8/24/2018,NVDA,272.22
8/27/2018,NVDA,275.9
8/28/2018,NVDA,274.38
8/29/2018,NVDA,278.49
8/30/2018,NVDA,277.81
8/31/2018,NVDA,280.68
9/4/2018,NVDA,283.7
9/5/2018,NVDA,278.42
9/6/2018,NVDA,272.72
9/7/2018,NVDA,271.86
9/10/2018,NVDA,274.73
9/11/2018,NVDA,272.8
9/12/2018,NVDA,268.2
9/13/2018,NVDA,271.34
9/14/2018,NVDA,276.43
9/17/2018,NVDA,273.93
9/18/2018,NVDA,271.02
9/19/2018,NVDA,271.98
9/20/2018,NVDA,266.28
9/21/2018,NVDA,263.45
9/24/2018,NVDA,265.7
9/25/2018,NVDA,268.41
9/26/2018,NVDA,266.92
9/27/2018,NVDA,267.4
9/28/2018,NVDA,281.02
10/1/2018,NVDA,289.36
10/2/2018,NVDA,286.48
10/3/2018,NVDA,286.73
10/4/2018,NVDA,279.29
10/5/2018,NVDA,269.86
10/8/2018,NVDA,265.77
10/9/2018,NVDA,265.54
10/10/2018,NVDA,245.69
10/11/2018,NVDA,235.13
10/12/2018,NVDA,246.54
10/15/2018,NVDA,235.38
10/16/2018,NVDA,245.83
10/17/2018,NVDA,243.06
10/18/2018,NVDA,239.53
10/19/2018,NVDA,229.17
10/22/2018,NVDA,231.22
10/23/2018,NVDA,221.06
10/24/2018,NVDA,199.41
10/25/2018,NVDA,207.84
10/26/2018,NVDA,198.29
10/29/2018,NVDA,185.62
10/30/2018,NVDA,203
10/31/2018,NVDA,210.83
11/1/2018,NVDA,218.11
11/2/2018,NVDA,214.92
11/5/2018,NVDA,211.77
11/6/2018,NVDA,211.06
11/7/2018,NVDA,213.79
11/8/2018,NVDA,205.99
11/9/2018,NVDA,205.67
11/12/2018,NVDA,189.54
11/13/2018,NVDA,199.31
11/14/2018,NVDA,197.19
11/15/2018,NVDA,202.39
11/16/2018,NVDA,164.43
11/19/2018,NVDA,144.7
11/20/2018,NVDA,149.08
11/21/2018,NVDA,144.71
11/23/2018,NVDA,145
11/26/2018,NVDA,153.05
11/27/2018,NVDA,153.73
11/28/2018,NVDA,160.07
11/29/2018,NVDA,157.36
11/30/2018,NVDA,163.43
12/3/2018,NVDA,170.04
12/4/2018,NVDA,157.11
12/6/2018,NVDA,158.29
12/7/2018,NVDA,147.61
12/10/2018,NVDA,151.86
12/11/2018,NVDA,148.19
12/12/2018,NVDA,148.9
